atomic_number,symbol,atomic_weight,name,group,period
1,H,1.008,Hydrogen,1,1
2,He,4.0026,Helium,18,1
3,Li,6.94,Lithium,1,2
4,Be,9.0122,Beryllium,2,2
5,B,10.81,Boron,13,2
6,C,12.01,Carbon,14,2
7,N,14.007,Nitrogen,15,2
8,O,15.999,Oxygen,16,2
9,F,18.998,Fluorine,17,2
10,Ne,20.18,Neon,18,2
11,Na,22.99,Sodium,1,3
12,Mg,24.305,Magnesium,2,3
13,Al,26.982,Aluminum,13,3
14,Si,28.085,Silicon,14,3
15,P,30.974,Phosphorus,15,3
16,S,32.06,Sulfur,16,3
17,Cl,35.45,Chlorine,17,3
18,Ar,39.948,Argon,18,3
19,K,39.098,Potassium,1,4
20,Ca,40.08,Calcium,2,4
21,Sc,44.956,Scandium,3,4
22,Ti,47.867,Titanium,4,4
23,V,50.942,Vanadium,5,4
24,Cr,51.996,Chromium,6,4
25,Mn,54.938,Manganese,7,4
26,Fe,55.845,Iron,8,4
27,Co,58.933,Cobalt,9,4
28,Ni,58.693,Nickel,10,4
29,Cu,63.546,Copper,11,4
30,Zn,65.38,Zinc,12,4
31,Ga,69.723,Gallium,13,4
32,Ge,72.63,Germanium,14,4
33,As,74.922,Arsenic,15,4
34,Se,78.971,Selenium,16,4
35,Br,79.904,Bromine,17,4
36,Kr,83.798,Krypton,18,4
37,Rb,85.468,Rubidium,1,5
38,Sr,87.62,Strontium,2,5
39,Y,88.906,Yttrium,3,5
40,Zr,91.224,Zirconium,4,5
41,Nb,92.906,Niobium,5,5
42,Mo,95.95,Molybdenum,6,5
43,Tc,98,Technetium,7,5
44,Ru,101.07,Ruthenium,8,5
45,Rh,102.91,Rhodium,9,5
46,Pd,106.42,Palladium,10,5
47,Ag,107.87,Silver,11,5
48,Cd,112.41,Cadmium,12,5
49,In,114.82,Indium,13,5
50,Sn,118.71,Tin,14,5
51,Sb,121.76,Antimony,15,5
52,Te,127.6,Tellurium,16,5
53,I,126.9,Iodine,17,5
54,Xe,131.29,Xenon,18,5
55,Cs,132.91,Cesium,1,6
56,Ba,137.33,Barium,2,6
57,La,138.91,Lanthanum,*,f-block
58,Ce,140.12,Cerium,*,f-block
59,Pr,140.91,Praseodymium,*,f-block
60,Nd,144.24,Neodymium,*,f-block
61,Pm,145,Promethium,*,f-block
62,Sm,150.36,Samarium,*,f-block
63,Eu,152,Europium,*,f-block
64,Gd,157.25,Gadolinium,*,f-block
65,Tb,158.93,Terbium,*,f-block
66,Dy,162.5,Dysprosium,*,f-block
67,Ho,164.93,Holmium,*,f-block
68,Er,167.26,Erbium,*,f-block
69,Tm,168.93,Thulium,*,f-block
70,Yb,173.05,Ytterbium,*,f-block
71,Lu,174.97,Lutetium,*,f-block
72,Hf,178.49,Hafnium,4,6
73,Ta,180.95,Tantalum,5,6
74,W,183.84,Tungsten,6,6
75,Re,186.21,Rhenium,7,6
76,Os,190.23,Osmium,8,6
77,Ir,192.22,Iridium,9,6
78,Pt,195.08,Platinum,10,6
79,Au,196.97,Gold,11,6
80,Hg,200.59,Mercury,12,6
81,Tl,204.38,Thallium,13,6
82,Pb,207.2,Lead,14,6
83,Bi,208.98,Bismuth,15,6
84,Po,209,Polonium,16,6
85,At,210,Astatine,17,6
86,Rn,222,Radon,18,6
87,Fr,223,Francium,1,7
88,Ra,226,Radium,2,7
89,Ac,227,Actinium,*,f-block
90,Th,232.04,Thorium,*,f-block
91,Pa,231.04,Protactinium,*,f-block
92,U,238.03,Uranium,*,f-block
93,Np,237,Neptunium,*,f-block
94,Pu,244,Plutonium,*,f-block
95,Am,243,Americium,*,f-block
96,Cm,247,Curium,*,f-block
97,Bk,247,Berkelium,*,f-block
98,Cf,251,Californium,*,f-block
99,Es,252,Einsteinium,*,f-block
100,Fm,257,Fermium,*,f-block
101,Md,258,Mendelevium,*,f-block
102,No,259,Nobelium,*,f-block
103,Lr,266,Lawrencium,*,f-block
104,Rf,267,Rutherfordium,4,7
105,Db,270,Dubnium,5,7
106,Sg,271,Seaborgium,6,7
107,Bh,270,Bohrium,7,7
108,Hs,277,Hassium,8,7
109,Mt,276,Meitnerium,9,7
110,Ds,281,Darmstadtium,10,7
111,Rg,280,Roentgenium,11,7
112,Cn,285,Copernicium,12,7
113,Nh,284,Nihonium,13,7
114,Fl,289,Flerovium,14,7
115,Mc,288,Moscovium,15,7
116,Lv,293,Livermorium,16,7
117,Ts,294,Tennessine,17,7
118,Og,294,Oganesson,18,7